Layout,Passenger Volume,Highway Fuel Economy,Drag Coefficient,Fuel Type,Head Room,Ground Clearance,Shoulder Room,Power,title,Trailer Weight,Cargo Volume (Seats Folded),Front Track,Volume,Front Suspension,Front,Rear Track,Leg Room,Rear,Weight Distribution,Transmission,Front Tires,Wheelbase,Seats,Length,Body Style,Market Segment,Forced Induction,Weight,Rear Suspension,Width,Direct Injection,Tongue Weight,Torque,Cargo Volume,Height,Rear Tires,City Fuel Economy,Engine Type,Hip Room,Payload,Size
Rear Wheel Drive,88.2 cu. ft.,34 mpg,TBD,Gas,36.9 in.,TBD,55.0 in.,241 hp @ 5500 rpm,2016 Mercedes-Benz C-Class Sedan specifications,TBD,TBD,61.6 in.,TBD,Strut-Type,17 Aluminum,60.8 in.,33.4 in.,17 Aluminum,TBD,7-Speed Automatic,P225/45HR17,111.8 in.,5,184.5 in.,Sedan,Near-Luxury,Turbocharger,3417 lbs,Multi-Link,71.3 in.,Yes,TBD,273 lb-ft @ 1300 - 4000 rpm,12.6 cu. ft.,56.8 in.,P245/40HR17,25 mpg,2.0L I4,TBD,N/A,Midsize
Front Wheel Drive,105.8 cu. ft.,32 mpg,0.33,Gas,34.6 in.,7.4 in.,49.3 in.,170 hp @ 6000 rpm,2015 Nissan Rogue specifications,1000 lbs,70.0 cu. ft.,62.8 in.,TBD,Strut-Type,17 Steel,62.8 in.,31.4 in.,17 Steel,58/42,CVT,225/65R17,106.5 in.,5,182.3 in.,SUV,Standard,None,3532 lbs,Multi-Link,72.4 in.,No,100 lbs,175 lb-ft @ 4400 rpm,9.4 cu. ft.,66.3 in.,225/65R17,25 mpg,2.5L I4,42.0 in.,TBD,Compact
All Wheel Drive,TBD,16 mpg,TBD,Gas,40.3 in.,TBD,65.5 in.,411 hp @ 5500 rpm,2014 Ford F-150 SVT Raptor Supercrew specifications,8000 lbs,TBD,73.6 in.,TBD,Double Wishbone,17 Aluminum,73.6 in.,43.5 in.,17 Aluminum,TBD,6-Speed Automatic,LT315/70R-17 A/T BSW,145.2 in.,6,231.9 in.,Pickup Truck,Performance,None,6210 lbs,Solid Axle,86.3 in.,No,TBD,434 lb-ft @ 4500 rpm,TBD,78.4 in.,LT315/70R-17 A/T BSW,11 mpg,6.2L V8,64.6 in.,1170,Fullsize
All Wheel Drive,TBD,TBD,TBD,Gas,TBD,TBD,TBD,1001 hp @ 6000 rpm,2015 Bugatti Veyron 16.4 specifications,TBD,TBD,TBD,TBD,Double Wishbone,19 Aluminum,TBD,TBD,19 Aluminum,TBD,7-Speed Automatic,265-680 R 500A,106.7 in.,2,175.7 in.,Coupe,Performance; Exotic,Supercharger,4162 lbs,Double Wishbone,78.7 in.,Yes,TBD,1250 lb-ft @ 2200�5500 rpm,TBD,45.6 in.,365-710 ZR 540A,TBD,8.0L W16,TBD,N/A,Midsize
All Wheel Drive,TBD,31 mpg,0.33,Gas,36.1 in.,TBD,53.0 in.,292 hp @ 5400-6200 rpm,2016 Audi S3 Sedan specifications,TBD,TBD,61.1 in.,TBD,Strut-Type,19 Aluminum,60.1 in.,35.1 in.,19 Aluminum,TBD,6-Speed Automated Manual,235/35 R19,103.6 in.,5,175.9 in.,Sedan,Luxury,Turbocharger,3450 lbs,Multi-Link,77.2 in.,Yes,TBD,280 lb-ft @ 1900-5300 rpm,10.0 cu. ft.,54.8 in.,235/35 R19,23 mpg,2.0L I4,TBD,N/A,Compact
Front Wheel Drive,93.5 cu. ft.,34 mpg,TBD,Gas,36.9 in.,5.5 in.,54.3 in.,148 hp @ 6000 rpm,2015 Mitsubishi Lancer specifications,TBD,TBD,60.2 in.,TBD,Strut-Type,16 Steel,60.2 in.,36.1 in.,16 Steel,60/40,5-Speed Manual,P205/60R16,103.7 in.,5,180.0 in.,Sedan,Standard,None,2888 lbs,Multi-Link,69.4 in.,No,TBD,145 lb-ft @ 4200 rpm,12.3 cu. ft.,58.3 in.,P205/60R16,25 mpg,2.0L I4,54.1 in.,N/A,Compact
Rear Wheel Drive,97.0 cu. ft.,TBD,TBD,Gas,37.5 in.,TBD,54.8 in.,640 hp @ 6400 rpm,2016 Cadillac CTS-V specifications,TBD,N/A,62.1 in.,TBD,Strut-Type,19 Aluminum,61.2 in.,35.4 in.,19 Aluminum,52.7/47.3,8-Speed Automated Manual,265/35ZR19,114.6 in.,5,197.6 in.,Sedan,Luxury; Performance,Supercharger,4145 lbs,Multi-Link,72.2 in.,Yes,TBD,630 lb-ft @ 3600 rpm,13.7 cu. ft.,57.2 in.,295/30ZR19,TBD,6.2L V8,53.3 in.,N/A,Midsize
Rear Wheel Drive,52.0 cu. ft.,22 mpg,TBD,Gas,38 in.,TBD,55 in.,650 hp @ 6400 rpm,2016 Chevrolet Corvette Z06 Convertible specifications,TBD,N/A,63.5 in.,TBD,Double Wishbone,19 Aluminum,62.5 in.,43 in.,20 Aluminum,50/50,7-Speed Manual,P285/30ZR19,106.7 in.,2,177.9 in.,Convertible,Performance,Supercharger,3582 lbs,Double Wishbone,77.4 in.,Yes,TBD,650 lb-ft @ 3600 rpm,10.0 cu. ft.,48.6 in.,P335/25ZR20,15 mpg,6.2L V8,54 in.,N/A,Midsize
Rear Wheel Drive,TBD,34 mpg,TBD,Gas,39.7 in.,7 in.,54.6 in.,240 hp @ 5000-6000 rpm,2015 BMW X1 specifications,TBD,56 cu. ft.,59.1 in.,TBD,Strut-Type,17 Aluminum,60.2 in.,34.9 in.,17 Aluminum,49.4/50.6,8-Speed Automatic,225/50 R17 94H RSC,108.7 in.,5,176.5 in.,SUV,Near-Luxury,Turbocharger,3527 lbs,Multi-Link,70.8 in.,Yes,TBD,260 lb-ft @ 1250-4800 rpm,25 cu. ft.,60.8 in.,225/50 R17 94H RSC,23 mpg,2.0L I4,TBD,904,Compact
Rear Wheel Drive,102.9 cu. ft.,23 mpg,TBD,Gas,39.7 in.,7.9 in.,55.4 in.,268 hp @ 6000 rpm,2015 Mercedes-Benz GLK-Class specifications,3500 lbs,54.7 cu. ft.,60.1 in.,TBD,Strut-Type,19 Aluminum,62.5 in.,35.1 in.,19 Aluminum,TBD,7-Speed Automatic,235/50R19,108.5 in.,5,178.3 in.,SUV,Near-Luxury,None,4012 lbs,Multi-Link,74.25 in.,No,TBD,258 lb-ft @ 2400-5000 rpm,23.3 cu. ft.,66.9 in.,235/50R19,16 mpg,3.5L V6,TBD,TBD,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2016 Ford Shelby GT350 specifications,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,-,N/A,N/A,N/A,N/A,0,N/A,Coupe,Performance,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,-,N/A,N/A,Midsize
All Wheel Drive,N/A,N/A,N/A,Gas,N/A,N/A,N/A,-,2015 Ram 2500 Power Wagon specifications,TBD,N/A,N/A,N/A,Solid Axle,-,N/A,N/A,-,N/A,6-Speed Automatic,N/A,N/A,0,N/A,Pickup Truck,N/A,N/A,N/A,N/A,N/A,N/A,TBD,-,N/A,N/A,N/A,N/A,-,N/A,TBD,Fullsize
Front Wheel Drive,95.9 cu. ft.,36 mpg,0.29,Gas,36.7 in.,6.4 in.,53.9 in.,130 hp @ 6000 rpm,2015 Nissan Sentra specifications,TBD,TBD,60.2 in.,TBD,Strut-Type,16 Steel,60.2 in.,37.4 in.,16 Steel,60/40,6-Speed Manual,205/55R16,106.3 in.,5,182.1 in.,Sedan,Standard,None,2855 lbs,Torsion-Beam,69.3 in.,No,TBD,128 lb-ft @ 3600 rpm,15.1 cu. ft.,58.9 in.,205/55R16,27 mpg,1.8L I4,50.1 in.,N/A,Midsize
Rear Wheel Drive,100.0 cu. ft.,30 mpg,0.26,Gas,37.5 in.,5.1 in.,56.1 in.,328 hp @ 7000 rpm,2015 Infiniti Q50 specifications,TBD,TBD,60.8 in.,TBD,Double Wishbone,17 Aluminum,61.8 in.,35.1 in.,17 Aluminum,55.5/44.5,7-Speed Automatic,225/55R17,112.2 in.,5,188.3 in.,Sedan,Luxury,None,3574 lbs,Multi-Link,71.8 in.,No,TBD,269 lb-ft @ 5200 rpm,13.5 cu. ft.,56.8 in.,225/55R17,20 mpg,3.7L V6,52.5 in.,N/A,Midsize
Front Wheel Drive,71.6 cu. ft.,108 mpg,0.311,Electric,35.5 in.,4.5 in.,46.4 in.,111 hp @ N/A rpm,2016 Fiat 500e specifications,TBD,TBD,55.4 in.,26.3 cu. ft.,Strut-Type,15 Aluminum,55.0 in.,27.6 in.,15 Aluminum,57/43,1-Speed Automatic,185/55R15 BSW,90.6 in.,4,142.4 in.,Hatchback,Economy; Electric,None,2980 lbs,Torsion-Beam,64.1 in.,No,TBD,147 lb-ft @ N/A rpm,7.0 cu. ft.,60.1 in.,185/55R15 BSW,122 mpg,-,42.6 in.,N/A,Sub-Compact
Rear Wheel Drive,115.4 cu. ft.,TBD,0.33,Gas,37.7 in.,6.9 in.,55.0 in.,325 hp @ 7000 rpm,2015 Infiniti QX50 specifications,TBD,TBD,60.4 in.,TBD,Double Wishbone,18 Aluminum,61.0 in.,35.3 in.,18 Aluminum,TBD,7-Speed Automatic,225/55R18,113.4 in.,5,186.8 in.,SUV,Near-Luxury,None,TBD,Multi-Link,71.0 in.,No,TBD,267 lb-ft @ 5200 rpm,18.6 cu. ft.,62.7 in.,225/55R18,TBD,3.7L V6,49.4 in.,TBD,Compact
Rear Wheel Drive,TBD,22 mpg,TBD,Gas,33.1 in.,4.9 in.,42.4 in.,550 hp @ 6000-6500 rpm,2015 Jaguar XKR-S Convertible specifications,TBD,TBD,TBD,TBD,Double Wishbone,20 Aluminum,TBD,27.6 in.,20 Aluminum,TBD,6-Speed Automatic,255/35ZR-20,108.3 in.,0,188.7 in.,Convertible,Luxury; Performance,Supercharger,4079 lbs,Double Wishbone,74.5 in.,Yes,TBD,502 lb-ft @ 2500-5500 rpm,7.1 cu. ft.,52.3 in.,295/30ZR-20,15 mpg,5.0L V8,TBD,N/A,Midsize
Front Wheel Drive,96.3 cu. ft.,41 mpg,0.26,Gas,37.6 in.,6.1 in.,54.4 in.,155 hp @ 6000 rpm,2015 Mazda Mazda3 specifications,TBD,N/A,61.2 in.,TBD,Strut-Type,16 Steel,61.4 in.,35.8 in.,16 Steel,59/41,6-Speed Manual,205/60R16 91H,106.3 in.,5,180.3 in.,Sedan,Standard,None,2854 lbs,Multi-Link,70.7 in.,Yes,TBD,150 lb-ft @ 4000 rpm,12.4 cu. ft.,57.3 in.,205/60R16 91H,29 mpg,2.0L I4,53.5 in.,N/A,Compact
All Wheel Drive,TBD,31 mpg,0.33,Gas,37.6 in.,TBD,53.2 in.,265 hp @ 6000 rpm,2015 Audi TTS Roadster specifications,N/A,N/A,61.2 in.,TBD,Strut-Type,19 Aluminum,60.8 in.,41.1 in.,19 Aluminum,TBD,6-Speed Automated Manual,P255/35YR19,97.2 in.,2,165.3 in.,Roadster,Near-Luxury,Turbocharger,3439 lbs,Multi-Link,72.5 in.,Yes,N/A,258 lb-ft @ 2500 rpm,8.83 cu. ft.,53.1 in.,P255/35YR19,22 mpg,2.0L I4,TBD,N/A,Sub-Compact
Front Wheel Drive,89.7 cu. ft.,38 mpg,TBD,Gas,37.2 in.,TBD,53.4 in.,137 hp @ 6300 rpm,2015 Hyundai Accent Sedan specifications,TBD,TBD,59.3 in.,TBD,Strut-Type,14 Steel,59.5 in.,33.3 in.,14 Steel,TBD,6-Speed Manual,P175/70TR14,101.2 in.,5,172.0 in.,Sedan,Economy,None,2480 lbs,Torsion-Beam,66.9 in.,Yes,TBD,123 lb-ft @ 4850 rpm,13.7 cu. ft.,57.1 in.,P175/70TR14,27 mpg,1.6L I4,47.2 in.,N/A,Compact
All Wheel Drive,TBD,17 mpg,TBD,Gas,TBD,TBD,TBD,552 hp @ 6100 rpm,2016 Bentley Continental GTC specifications,TBD,TBD,63.9 in.,TBD,Double Wishbone,20 Aluminum,63.3 in.,TBD,20 Aluminum,TBD,6-Speed Automatic,275/35R20,108.7 in.,4,189.1 in.,Convertible,Luxury,Turbocharger,5478 lbs,Multi-Link,86.4 in.,No,TBD,479 lb-ft @ 1600 rpm,9.2 cu. ft.,55.4 in.,275/35R20,10 mpg,6.0L W12,TBD,N/A,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mercedes-AMG CLS63 S specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mercedes-AMG S63 Coupe specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Rear Wheel Drive,TBD,31 mpg,TBD,Gas,37.0 in.,5 in.,54.6 in.,315 hp @ 5800-6000 rpm,2015 BMW 6-Series Gran Coupe specifications,TBD,TBD,63.0 in.,TBD,Double Wishbone,18 Aluminum,65.6 in.,35.3 in.,18 Aluminum,50.2/49.8,8-Speed Automatic,245/45 R18 100V RSC,116.9 in.,4,197.2 in.,Sedan,Luxury,Turbocharger,4190 lbs,Multi-Link,74.6 in.,Yes,TBD,330 lb-ft @ 1400-4500 rpm,16.2 cu. ft.,54.8 in.,245/45 R18 100V RSC,20 mpg,3.0L I6,TBD,N/A,Midsize
All Wheel Drive,TBD,26 mpg,TBD,Gas,38.7 in.,8.3 in.,56.3 in.,240 hp @ 5800 rpm,2016 Land Rover Discovery Sport specifications,TBD,66.9 cu. ft.,63.8 in.,TBD,Strut-Type,18 Aluminum,64.2 in.,37.3 in.,18 Aluminum,TBD,9-Speed Automatic,P235/60VR18,107.9 in.,5,180.7 in.,SUV,Near-Luxury,None,5520 lbs,Strut-Type,51.5 in.,Yes,TBD,250 lb-ft @ 1750 rpm,32.0 cu. ft.,67.9 in.,P235/60VR18,20 mpg,2.0L I4,TBD,TBD,Compact
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2016 Chevrolet Malibu Limited specifications,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,-,N/A,N/A,N/A,N/A,0,N/A,Sedan,Standard,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,-,N/A,N/A,Midsize
Rear Wheel Drive,TBD,24 mpg,TBD,Gas,30.2 in.,TBD,42.4 in.,385 hp @ 6500 rpm,2015 Jaguar XK Coupe specifications,TBD,TBD,61.4 in.,TBD,Double Wishbone,19 Aluminum,62.8 in.,27.6 in.,19 Aluminum,TBD,6-Speed Automatic,245/40 ZR19,108.3 in.,4,188.7 in.,Coupe,Luxury,None,3770 lbs,Multi-Link,74.5 in.,Yes,TBD,380 lb-ft @ 3500 rpm,11.7 cu. ft.,52.0 in.,275/35 ZR19,16 mpg,5.0L V8,TBD,N/A,Midsize
Front Wheel Drive,89.8 cu. ft.,35 mpg,0.32,Gas,35.3 in.,5.6 in.,54.0 in.,138 hp @ 6300 rpm,2015 Hyundai Veloster specifications,TBD,34.7 cu. ft.,61.5 in.,TBD,Strut-Type,17 Aluminum,62.0 in.,31.7 in.,17 Aluminum,TBD,6-Speed Manual,P215/45HR17,104.3 in.,4,166.1 in.,Hatchback,Standard,None,2679 lbs,Torsion-Beam,70.5 in.,Yes,TBD,123 lb-ft @ 4850 rpm,15.5 cu. ft.,55.1 in.,P215/45HR17,27 mpg,1.6L I4,52.6 in.,N/A,Compact
All Wheel Drive,TBD,TBD,TBD,Gas,38.8 in.,8.1 in.,58.3 in.,567 hp @ 6000-6500 rpm,2015 BMW X5 M specifications,TBD,76.7 cu. ft.,65.6 in.,TBD,Double Wishbone,21 Aluminum,65.6 in.,36.6 in.,21 Aluminum,50.7/49.3,8-Speed Automatic,285/40 R20 104Y XL,115.5 in.,5,192.7 in.,SUV,Luxury,Turbocharger,5260 lbs,Multi-Link,78.1 in.,Yes,TBD,553 lb-ft @ 2200-5000 rpm,35.8 cu. ft.,67.6 in.,325/30 ZR21 108Y XL,TBD,4.4L V8,TBD,1170,Midsize
Rear Wheel Drive,TBD,TBD,TBD,Diesel,TBD,TBD,TBD,188 hp @ 3800 rpm,2016 Mercedes-Benz Sprinter specifications,5000 lbs,N/A,67.2 in.,TBD,Strut-Type,16 Steel,60.9 in.,TBD,16 Steel,53/47,5-Speed Automatic,LT245/75R16,144.3 in.,2,232.5 in.,Van,Standard,Turbocharger,5098 lbs,Solid Axle,79.7 in.,Yes,TBD,325 lb-ft @ 1400�2400 rpm,318.0 cu. ft.,96.3 in.,LT245/75R16,TBD,3.0L V6,TBD,3452,Fullsize
All Wheel Drive,TBD,20 mpg,TBD,Gas,37.5 in.,TBD,54.8 in.,430 hp @ 7900 rpm,2015 Audi R8 Spyder specifications,TBD,N/A,64.5 in.,TBD,Double Wishbone,19 Aluminum,62.8 in.,41.0 in.,19 Aluminum,TBD,6-Speed Manual,P235/35YR19,104.3 in.,2,174.4 in.,Roadster,Sports; Exotic,None,3737 lbs,Double Wishbone,75 in.,Yes,TBD,317 lb-ft @ 4500-6000 rpm,TBD,49.0 in.,P235/35YR19,11 mpg,4.2L V8,TBD,N/A,Compact
Rear Wheel Drive,TBD,TBD,TBD,Gas,TBD,TBD,TBD,510 hp @ 6500 rpm,2015 Aston Martin V12 Vantage S specifications,TBD,TBD,TBD,TBD,Double Wishbone,19 Aluminum,TBD,TBD,19 Aluminum,TBD,6-Speed Manual,255/35 ZR19,102.4 in.,2,172.6 in.,Coupe,Luxury; Sports,None,3704 lbs,Double Wishbone,73.4 in.,No,TBD,420 lb-ft @ 5750 rpm,TBD,48.6 in.,295/30 ZR19,TBD,5.9L V12,TBD,N/A,Compact
Front Wheel Drive,120.6 cu. ft.,28 mpg,TBD,Gas,45.1 in.,6 in.,58.4 in.,169 hp @ 6000 rpm,2015 Ford Transit Connect Wagon specifications,TBD,77.1 cu. ft.,61.4 in.,TBD,Strut-Type,16 Steel,61.7 in.,37.6 in.,16 Steel,TBD,6-Speed Automatic,P215/55HR16,104.8 in.,5,173.9 in.,Van,Standard,None,3630 lbs,Torsion-Beam,72.2 in.,No,TBD,171 lb-ft @ 4500 rpm,46.9 cu. ft.,72.6 in.,P215/55HR16,20 mpg,2.5L I4,58.2 in.,1620,Midsize
All Wheel Drive,151.8 cu. ft.,23 mpg,TBD,Gas,38.4 in.,7.6 in.,57.8 in.,288 hp @ 6300 rpm,2016 GMC Acadia Denali specifications,5200 lbs,116.1 cu. ft.,67.3 in.,TBD,Strut-Type,20 Aluminum,67.1 in.,33.2 in.,20 Aluminum,TBD,6-Speed Automatic,P225/55R20,118.9 in.,7,200.8 in.,SUV,Standard,None,4850 lbs,Double Wishbone,78.9 in.,No,TBD,270 lb-ft @ 3400 rpm,24.1 cu. ft.,70.4 in.,P225/55R20,16 mpg,3.6L V6,48.3 in.,TBD,Fullsize
Rear Wheel Drive,TBD,35 mpg,TBD,Gas,36.1 in.,5.1 in.,51.7 in.,241 hp @ 5000-6500 rpm,2016 BMW 4-Series specifications,N/A,TBD,60.8 in.,TBD,Strut-Type,17 Aluminum,62.8 in.,33.7 in.,17 Aluminum,50.4/49.6,8-Speed Automatic,P225/50VR17,110.6 in.,4,182.6 in.,Coupe,Near-Luxury,Turbocharger,3495 lbs,Multi-Link,71.9 in.,Yes,N/A,255 lb-ft @ 1250-4800 rpm,15.7 cu. ft.,54.2 in.,P225/50VR17,23 mpg,2.0L I4,TBD,N/A,Compact
Rear Wheel Drive,TBD,28 mpg,TBD,Gas,38.8 in.,5.7 in.,57.8 in.,300 hp @ 5800-6000 rpm,2015 BMW 5-Series Gran Turismo specifications,N/A,60.0 cu. ft.,63.4 in.,TBD,Double Wishbone,18 Aluminum,65.1 in.,39.9 in.,18 Aluminum,47/53,8-Speed Automatic,245/50 R18 100Y RSC,120.9 in.,5,197.1 in.,Hatchback,Luxury,Turbocharger,4540 lbs,Multi-Link,74.8 in.,Yes,N/A,300 lb-ft @ 1300-5000 rpm,17.7 cu. ft.,61.6 in.,245/50 R18 100Y RSC,19 mpg,3.0L I6,TBD,N/A,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mercedes-AMG GLA45 specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mini Hardtop Four-Door specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Rear Wheel Drive,112.8 cu. ft.,18 mpg,TBD,Gas,38.9 in.,10.2 in.,64.9 in.,317 hp @ 5200 rpm,2015 Nissan Titan specifications,7400 lbs,TBD,67.9 in.,48.1 cu. ft.,Double Wishbone,18 Steel,68.1 in.,33.0 in.,18 Steel,56/44,5-Speed Automatic,265/70R18,139.8 in.,6,224.6 in.,Pickup Truck,Standard,None,4898 lbs,Solid Axle,79.5 in.,No,950 lbs,385 lb-ft @ 3400 rpm,TBD,74.6 in.,265/70R18,13 mpg,5.6L V8,60.3 in.,2102,Fullsize
Front Wheel Drive,49.1 cu. ft.,38 mpg,TBD,Gas,36.9 in.,TBD,53.8 in.,130 hp @ 6000 rpm,2015 Honda CR-Z specifications,TBD,N/A,59.6 in.,TBD,Strut-Type,16 Aluminum,59.1 in.,42.7 in.,16 Aluminum,59/41,6-Speed Manual,P195/55R16 86V,95.9 in.,2,160.5 in.,Coupe,Standard; Hybrid,None,2639 lbs,Torsion-Beam,68.5 in.,Yes,TBD,140 lb-ft @ 1000-2000 rpm,25.1 cu. ft.,54.9 in.,P195/55R16 86V,31 mpg,1.5L I4,51.5 in.,N/A,Compact
Front Wheel Drive,86.1 cu. ft.,42 mpg,TBD,Gas,37.3 in.,6.3 in.,51.0 in.,74 hp @ 6000 rpm,2015 Mitsubishi Mirage specifications,TBD,47.0 cu. ft.,56.3 in.,TBD,Strut-Type,14 Steel,55.7 in.,34.0 in.,14 Steel,TBD,5-Speed Manual,P165/65SR14,96.5 in.,5,148.8 in.,Hatchback,Standard,None,1973 lbs,Torsion-Beam,65.6 in.,No,TBD,74 lb-ft @ 4000 rpm,17.2 cu. ft.,59.4 in.,P165/65SR14,34 mpg,-,49.0 in.,N/A,Sub-Compact
Front Wheel Drive,146.6 cu. ft.,25 mpg,0.34,Gas,35.7 in.,TBD,53.9 in.,290 hp @ 6400 rpm,2015 Hyundai Santa Fe specifications,5000 lbs,71.5 cu. ft.,64.1 in.,TBD,Strut-Type,17 Aluminum,64.5 in.,31.5 in.,17 Aluminum,TBD,6-Speed Automatic,P235/65 R17,110.2 in.,7,193.1 in.,SUV,Standard,None,5512 lbs,Multi-Link,74.2 in.,Yes,TBD,252 lb-ft @ 5200 rpm,13.5 cu. ft.,66.5 in.,P235/65 R17,18 mpg,3.3L V6,44.1 in.,1338,Midsize
Rear Wheel Drive,TBD,20 mpg,TBD,Gas,36.5 in.,4.2 in.,49.6 in.,560 hp @ 6000-7000 rpm,2015 BMW M6 Convertible specifications,TBD,TBD,64.2 in.,TBD,Double Wishbone,19 Aluminum,63.5 in.,30.5 in.,19 Aluminum,50.9/49.1,7-Speed Automated Manual,265/40 ZR19 102Y XL,112.2 in.,4,193.0 in.,Convertible,Luxury,None,4515 lbs,Multi-Link,74.8 in.,Yes,TBD,500 lb-ft @ 1500-5750 rpm,12.36 cu. ft.,53.9 in.,295/35 ZR19 104Y XL,14 mpg,4.4L V8,TBD,N/A,Midsize
All Wheel Drive,93.2 cu. ft.,23 mpg,TBD,Gas,36.9 in.,5.5 in.,54.3 in.,291 hp @ 6500 rpm,2015 Mitsubishi Lancer Evolution specifications,TBD,TBD,60.8 in.,TBD,Strut-Type,18 Aluminum,60.8 in.,36.1 in.,18 Aluminum,56.6/43.4,5-Speed Manual,P245/40R18 93Y,104.3 in.,5,177.0 in.,Sedan,Performance,Turbocharger,3527 lbs,Multi-Link,71.3 in.,No,TBD,300 lb-ft @ 4000 rpm,6.9 cu. ft.,58.3 in.,P245/40R18 93Y,17 mpg,2.0L I4,54.1 in.,N/A,Compact
Rear Wheel Drive,80.8 cu. ft.,28 mpg,TBD,Gas,35.7 in.,TBD,44.7 in.,300 hp @ 6500 rpm,2015 Ford Mustang Convertible specifications,TBD,TBD,62.5 in.,TBD,Strut-Type,17 Aluminum,65.1 in.,30.8 in.,17 Aluminum,TBD,6-Speed Manual,P235/55HR17,107.1 in.,4,188.3 in.,Convertible,Standard,None,3697 lbs,Multi-Link,75.4 in.,No,TBD,280 lb-ft @ 4000 rpm,11.4 cu. ft.,54.9 in.,P235/55HR17,17 mpg,3.7L V6,43.7 in.,N/A,Midsize
All Wheel Drive,96.6 cu. ft.,27 mpg,TBD,Gas,37.1 in.,TBD,54.2 in.,268 hp @ 5600 rpm,2016 Subaru WRX specifications,TBD,TBD,TBD,TBD,Strut-Type,17 Aluminum,TBD,35.4 in.,17 Aluminum,TBD,6-Speed Manual,235/45 R17 94W,104.3 in.,5,180.9 in.,Sedan,Sports,Turbocharger,3269 lbs,Double Wishbone,70.7 in.,Yes,TBD,258 lb-ft @ 2000-5200 rpm,12.0 cu. ft.,58.1 in.,235/45 R17 94W,20 mpg,2.0L I4,TBD,N/A,Compact
Rear Wheel Drive,TBD,TBD,0.35,Gas,TBD,TBD,TBD,470 hp @ 6000 rpm,2016 Aston Martin DB9 GT specifications,TBD,TBD,62.0 in.,TBD,Double Wishbone,19 Aluminum,61.5 in.,TBD,19 Aluminum,TBD,6-Speed Automatic,235/40 ZR19,108.1 in.,4,185.4 in.,Coupe,Luxury,None,3968 lbs,Double Wishbone,73.8 in.,No,TBD,443 lb-ft @ 5000 rpm,TBD,50.0 in.,275/35 ZR19,TBD,5.9L V12,TBD,N/A,Midsize
Rear Wheel Drive,TBD,15 mpg,TBD,Gas,40.0 in.,TBD,56.3 in.,382 hp @ 6000 rpm,2015 Mercedes-Benz G-Class specifications,3500 lbs,79.5 cu. ft.,59.6 in.,TBD,Solid Axle,18 Aluminum,59.6 in.,41.9 in.,18 Aluminum,TBD,7-Speed Automatic,265/60R18,112.2 in.,5,184.5 in.,SUV,Luxury,None,5622 lbs,Solid Axle,71.8 in.,No,350 lbs,391 lb-ft @ 2800�4800 rpm,45.2 cu. ft.,76.0 in.,265/60R18,12 mpg,5.5L V8,TBD,7000,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Ferrari 488 GTB specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
