Layout,Passenger Volume,Highway Fuel Economy,Drag Coefficient,Fuel Type,Head Room,Ground Clearance,Shoulder Room,Power,title,Trailer Weight,Cargo Volume (Seats Folded),Front Track,Volume,Front Suspension,Front,Rear Track,Leg Room,Rear,Weight Distribution,Transmission,Front Tires,Wheelbase,Seats,Length,Body Style,Market Segment,Forced Induction,Weight,Rear Suspension,Width,Direct Injection,Tongue Weight,Torque,Cargo Volume,Height,Rear Tires,City Fuel Economy,Engine Type,Hip Room,Payload,Size
Front Wheel Drive,106.8 cu. ft.,28 mpg,TBD,Gas,37.8 in.,5.4 in.,56.5 in.,293 hp @ 6400 rpm,2015 Kia Cadenza specifications,TBD,TBD,63.0 in.,TBD,Strut-Type,18 Aluminum,63.0 in.,36.8 in.,18 Aluminum,TBD,6-Speed Automatic,P245/45VR18,112.0 in.,5,195.5 in.,Sedan,Standard,None,3670 lbs,Multi-Link,72.8 in.,Yes,TBD,255 lb-ft @ 5200 rpm,15.9 cu. ft.,58.1 in.,P245/45VR18,19 mpg,3.3L V6,55.5 in.,N/A,Compact
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Volvo S60 Cross Country specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Front Wheel Drive,84.7 cu. ft.,126 mpg,TBD,Electric,34.3 in.,6.1 in.,54.8 in.,66 hp @ 3000-6000 rpm,2016 Mitsubishi i-MiEV specifications,TBD,50.4 cu. ft.,55.9 in.,TBD,Strut-Type,15 Aluminum,54.3 in.,30.0 in.,15 Aluminum,45/55,1-Speed Fixed Ratio,145/65 R15,100.4 in.,5,144.7 in.,Hatchback,Economy; Electric,None,2579 lbs,Multi-Link,62.4 in.,No,TBD,145 lb-ft @ 0-300 rpm,13.2 cu. ft.,63.6 in.,175/60 R15,99 mpg,-,47.8 in.,N/A,Sub-Compact
Rear Wheel Drive,TBD,20 mpg,TBD,Gas,35.7 in.,4.2 in.,49.7 in.,560 hp @ 6000-7000 rpm,2015 BMW M6 specifications,TBD,TBD,64.2 in.,TBD,Strut-Type,19 Aluminum,63.5 in.,30.5 in.,19 Aluminum,52.6/47.4,7-Speed Automated Manual,265/40 ZR19 102Y XL,112.2 in.,4,193.0 in.,Coupe,Performance,Turbocharger,4250 lbs,Double Wishbone,74.8 in.,Yes,TBD,500 lb-ft @ 1500-5750 rpm,16.25 cu. ft.,54.1 in.,295/35 ZR19 104Y XL,14 mpg,4.4L V8,TBD,N/A,Midsize
All Wheel Drive,96.6 cu. ft.,23 mpg,TBD,Gas,37.1 in.,4.9 in.,54.2 in.,305 hp @ 6000 rpm,2016 Subaru WRX STI specifications,TBD,TBD,60.2 in.,TBD,Strut-Type,18 Aluminum,60.6 in.,35.4 in.,18 Aluminum,TBD,6-Speed Manual,245/40R18 97W,104.3 in.,5,180.9 in.,Sedan,Sports,Turbocharger,3386 lbs,Double Wishbone,70.7 in.,Yes,TBD,290 lb-ft @ 4000 rpm,12.0 cu. ft.,58.1 in.,245/40R18 97W,17 mpg,2.5L I4,53.1 in.,N/A,Compact
Front Wheel Drive,TBD,TBD,TBD,Gas,38.1 in.,TBD,56.3 in.,185 hp @ 6000 rpm,2015 Kia Optima specifications,TBD,TBD,TBD,TBD,Strut-Type,16 Steel,TBD,35.6 in.,16 Steel,TBD,6-Speed Automatic,205/65 R16,110.4 in.,5,191.1 in.,Sedan,Standard,None,TBD,Multi-Link,73.2 in.,Yes,TBD,178 lb-ft @ 4000 rpm,TBD,57.6 in.,205/65 R16,TBD,2.4L I4,TBD,N/A,Midsize
Front Wheel Drive,98.6 cu. ft.,26 mpg,0.295,Gas,36.7 in.,TBD,55.7 in.,300 hp @ 6400 rpm,2016 Nissan Maxima specifications,TBD,TBD,TBD,TBD,Strut-Type,18 Aluminum,TBD,34.2 in.,18 Aluminum,TBD,CVT,245/45R18,109.3 in.,5,192.8 in.,Sedan,Near-Luxury,None,3471 lbs,Multi-Link,73.2 in.,No,TBD,261 lb-ft @ 4400 rpm,14.3 cu. ft.,56.5 in.,245/45R18,19 mpg,3.5L V6,53.5 in.,N/A,Midsize
Rear Wheel Drive,TBD,TBD,TBD,Electric,35.3 in.,6.0 in.,55.0 in.,435 hp @ TBD rpm,2016 Tesla Model S specifications,TBD,58.1 cu. ft.,65.4 in.,TBD,Double Wishbone,19 Aluminum,66.9 in.,35.4 in.,19 Aluminum,48/52,1-Speed Fixed Ratio,245/45R19,116.5 in.,5,196.0 in.,Sedan,Luxury; Electric,Supercharger,4647 lbs,Multi-Link,77.3 in.,Yes,TBD,TBD lb-ft @ TBD rpm,26.3 cu. ft.,56.5 in.,245/45R19,TBD,-,54.7 in.,N/A,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2016 BMW M2 specifications,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,-,N/A,N/A,N/A,N/A,0,N/A,Coupe,Luxury; Performance,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,-,N/A,N/A,Compact
Front Wheel Drive,TBD,35 mpg,0.28,Gas,37.8 in.,TBD,56.3 in.,252 hp @ 5000-6000 rpm,2016 Audi A6 specifications,TBD,TBD,64.1 in.,TBD,Multi-Link,18 Aluminum,63.7 in.,37.4 in.,18 Aluminum,TBD,7-Speed Automated Manual,245/45,114.6 in.,5,194.2 in.,Sedan,Luxury,Supercharger,3803 lbs,Multi-Link,73.8 in.,Yes,TBD,273 lb-ft @ 1600-4500 rpm,14.1 cu. ft.,57.8 in.,245/45,24 mpg,2.0L I4,TBD,N/A,Midsize
